date,location,secchi
2/15/22,F,3
2/15/22,P,2.5
2/15/22,R,3.75
3/2/22,B,3.75
3/2/22,E,3.8
3/2/22,F,3.5
3/2/22,P,4.5
3/2/22,R,4.5
3/18/22,B,3
3/18/22,E,3.8
3/18/22,F,2.5
3/18/22,P,3.5
3/18/22,R,4.25
4/3/22,B,4
4/3/22,E,4.6
4/3/22,R,4.6
4/19/22,B,4.75
4/19/22,E,3.95
4/19/22,R,4.75
5/6/22,B,3.4
5/6/22,E,3.6
5/6/22,R,3.3
5/21/22,B,3
5/21/22,E,2.75
5/21/22,R,2.9
6/8/22,B,2.5
6/8/22,E,2.25
6/8/22,R,4
6/22/22,B,2.6
6/22/22,E,3.6
6/22/22,R,3.48
7/8/22,B,2.75
7/8/22,E,4
7/8/22,R,4
7/25/22,B,2.5
7/25/22,E,4.5
7/25/22,R,4.5
8/10/22,B,2.75
8/10/22,E,4
8/10/22,R,3
8/25/22,B,2.75
8/25/22,E,3
8/25/22,R,3
9/9/22,B,3
9/9/22,E,3
9/9/22,R,3.5
9/26/22,B,3.75
9/26/22,E,3
9/26/22,R,3.5
10/4/22,B,3.5
10/4/22,E,3.75
10/4/22,R,3.5
10/20/22,B,2.5
10/20/22,E,2.25
10/20/22,R,3
10/27/22,B,2.9
10/27/22,E,3.5
10/27/22,R,3
11/4/22,B,3.4
11/4/22,E,3
11/4/22,R,3.6
11/14/22,B,2.5
11/14/22,E,3
11/14/22,R,3.75
11/28/22,B,3.5
11/28/22,E,3.25
11/28/22,R,2.75
12/7/22,B,2.5
12/7/22,E,3
12/7/22,R,3
1/6/23,B,2.5
1/6/23,E,3
1/6/23,R,2.5
1/9/23,B,3.5
1/9/23,E,5
1/9/23,R,3.5
1/24/23,B,3.5
1/24/23,E,4
1/24/23,R,3.5
2/9/23,B,3
2/9/23,E,3.35
2/9/23,R,4
2/24/23,B,2
2/24/23,E,2.75
2/24/23,R,2.25
3/14/23,B,2.5
3/14/23,E,2.5
3/14/23,R,2
3/29/23,B,3
3/29/23,E,3
3/29/23,R,3.5
4/14/23,B,3
4/14/23,E,4
4/14/23,R,4
5/1/23,B,5
5/1/23,E,4
5/1/23,R,4
5/16/23,B,4
5/16/23,E,3.5
5/16/23,R,4
6/16/23,B,1.75
6/16/23,E,1.65
6/16/23,R,2.1
7/3/23,B,3
7/3/23,E,3
7/3/23,R,2
7/19/23,B,2
7/19/23,E,2.3
7/19/23,R,2
8/4/23,B,3
8/4/23,E,2
8/4/23,R,3.75
8/21/23,B,2.6
8/21/23,E,2.75
8/21/23,R,2.5
10/9/23,B,4.75
10/9/23,E,4
10/9/23,R,2.25
10/23/23,B,2.75
