"date","location","mission","med_Blue_corr","med_Red_corr","med_Green_corr","med_Nir_corr","med_Swir1_corr","med_Swir2_corr","prop_clouds","prop_hillShadow","pCount_dswe1","pCount_dswe3","min_cloud_dist","mean_cloud_dist","system.index","CLOUD_COVER","IMAGE_QUALITY","IMAGE_QUALITY_TIRS","SUN_AZIMUTH","SUN_ELEVATION"
"1995-04-25","C","LANDSAT_5",0.0372350450454793,0.0219285364570496,0.0335808922435991,0.0295071309561871,-0.100691972058065,-0.0837014601015207,0,1,25,0,366,373.64,"1_2_LT05_018050_19950425",25,9,NA,87.36116377,53.89823003
"1995-04-25","F","LANDSAT_5",0.0368297294538676,0.0239162248274565,0.0361827192599134,0.028809560341683,-0.0996675692355887,-0.123519673777823,0,1,11,0,255,261.545454545455,"1_2_LT05_018050_19950425",25,9,NA,87.36116377,53.89823003
"1995-04-25","P","LANDSAT_5",0.0403264451535076,0.0247032388691932,0.0371088097985319,0.0295350558173197,-0.0806044946553556,-0.0839840046025825,0,1,24,0,206,213.708333333333,"1_2_LT05_018050_19950425",25,9,NA,87.36116377,53.89823003
"1995-05-11","B","LANDSAT_5",0.0343877099114619,0.0172072197967045,0.0308425403152388,0.0214804467915042,-0.0198146187400356,-0.0036576516833892,0,1,25,0,397,405.16,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","C","LANDSAT_5",0.0348231154148101,0.0188193957539649,0.0333624405563656,0.0247845431243628,-0.0167293508559369,-0.00195880369290037,0,1,27,0,501,509.037037037037,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","D","LANDSAT_5",0.0374914955207159,0.0221064079390729,0.0378162955926532,0.0339684762712532,-0.038522192513996,-0.0432761480422086,0,1,22,0,367,375.227272727273,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","E","LANDSAT_5",0.0345510512672349,0.0180552009472477,0.0282584619097024,0.0155945858857322,-0.0159065361857856,-0.0421447576279811,0,1,25,0,773,780.32,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","F","LANDSAT_5",0.0338017698423543,0.0166764274911923,0.0299963310131058,0.0169500189424172,-0.0399605455259903,-0.0441246689795034,0,1,26,0,600,606.769230769231,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","G","LANDSAT_5",0.0385019114502189,0.0192574316628449,0.0347469993489269,0.0224416200651231,-0.0524905856446869,0.00228864438396101,0,1,25,0,649,656.92,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","H","LANDSAT_5",0.0377747157607588,0.0173482901198149,0.0341637286509825,0.0176021320756676,-0.0303011384017355,0.00285500620824641,0,1,24,0,715,723.208333333333,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","I","LANDSAT_5",0.033433347685371,0.0170337374807486,0.03055230736287,0.0174390122559065,-0.0204316179134719,-0.00422391768145617,0,1,25,0,588,596.04,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","K","LANDSAT_5",0.0369513747613148,0.0179244987395094,0.0353063746255131,0.0266122007504113,-0.0430423980865715,-0.0458216546082689,0,1,26,0,652,659.730769230769,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","M","LANDSAT_5",0.0350134328056117,0.016817106012343,0.0340422685855525,0.0213981571327151,-0.0196089483190099,-0.00394078572401216,0,1,25,0,627,635.24,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","O","LANDSAT_5",0.0380442296583118,0.0188303346577494,0.0342487619121864,0.0240665841496502,-0.0247501043626137,-0.0350728123867947,0,1,26,0,785,791.846153846154,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","P","LANDSAT_5",0.0329688530826899,0.0157161125121616,0.0287408112594468,0.0117950902963787,-0.0171407461013717,-0.0022419502325953,0,1,26,0,870,876.346153846154,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","Q","LANDSAT_5",0.0356651523530588,0.0173374348660564,0.0318470996171964,0.0164615748476188,-0.00705924238466013,-0.0370530882945824,0,1,24,0,922,929.291666666667,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-11","R","LANDSAT_5",0.0341561775909312,0.0177394888942188,0.0278005093758009,0.0196053023710048,-0.0148779725119436,-0.000826196702334592,0,1,24,0,621,628.208333333333,"1_2_LT05_018050_19950511",15,9,NA,79.37499547,54.39192656
"1995-05-27","A","LANDSAT_5",0.0338699533063767,0.0249512085940582,0.0412406637979176,0.0300100378098442,-0.0510530930121274,-0.0506293732950096,0,1,13,3,291,296.307692307692,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","B","LANDSAT_5",0.0238575394017957,0.0162981942884809,0.0253466801417199,0.0214804467915042,-0.0510530930121274,-0.0506293732950096,0,1,25,0,359,366.44,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","C","LANDSAT_5",0.0238014421214256,0.0162118467776839,0.0252986442565859,0.0172487829274521,-0.0305067040458746,-0.0503465829788658,0,1,27,0,356,364.111111111111,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","D","LANDSAT_5",0.0283729506064848,0.0191478304245669,0.0331197880872231,0.0300100378098442,-0.0922903818879412,-0.0506293732950096,0,1,27,0,319,327.703703703704,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","E","LANDSAT_5",0.0220299898595812,0.0131932473865083,0.0207967370772959,0.0129771311096408,-0.0305067040458746,-0.0503465829788658,0,1,25,0,397,404.56,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","F","LANDSAT_5",0.0249077761995568,0.015071458535041,0.0235354174804276,0.0163531063006957,-0.0284509569321787,-0.0492154008825045,0,1,26,0,246,252.961538461538,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","G","LANDSAT_5",0.0303617468323138,0.016817106012343,0.0301171615080175,0.021782306064593,-0.0514638152675594,-0.0509121615279745,0,1,25,0,227,234.68,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","H","LANDSAT_5",0.0257318445942566,0.0139379812607182,0.0223502335164881,0.0174661946547348,-0.0308150487340703,-0.0506293732950096,0,1,24,0,281,287.333333333333,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","I","LANDSAT_5",0.0238014421214256,0.0129386038613642,0.024266602198633,0.0168685734530973,-0.050231624321982,-0.0101692075735129,0,1,25,0,199,206.68,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","J","LANDSAT_5",0.0275687691602114,0.0150929113266692,0.0255628789466677,0.0289908267823991,-0.0896257558095265,-0.0492154008825045,0,1,12,1,71,76.8333333333333,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","K","LANDSAT_5",0.0219031320768258,0.0131083268467422,0.0244585044666349,0.0170314796878119,-0.04047421910286,-0.0503465829788658,0,1,26,0,298,305.923076923077,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","L","LANDSAT_5",0.0292858612737624,0.0159207145510768,0.0285840146400535,0.0295909106249431,-0.11175231274119,-0.090199456581737,0,1,16,0,355,360,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","M","LANDSAT_5",0.0233523552767812,0.0127690383348586,0.0239788392738305,0.0208773435736749,-0.0498208778872685,-0.0497809960970425,0,1,25,0,367,374.24,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","N","LANDSAT_5",0.029700049163771,0.0185133561679306,0.031738108731559,0.0275566030486559,-0.0771179626447876,-0.0540226946007983,0,1,17,1,185,192.941176470588,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","O","LANDSAT_5",0.0248238681594659,0.0153720215046706,0.0238589700991712,0.014945483284565,-0.0356451902938082,-0.013849164743254,0,1,26,0,215,222.307692307692,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","P","LANDSAT_5",0.0225088387266735,0.0140126204105068,0.0219914515969623,0.0138119031680331,-0.0327677931453551,-0.0517605137277977,0,1,26,0,258,266.115384615385,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","Q","LANDSAT_5",0.0247119607697365,0.0152646222303109,0.0237750728923127,0.0147968681216934,-0.0352341577375965,-0.0531743923972628,0,1,24,0,253,260.041666666667,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-05-27","R","LANDSAT_5",0.0256620806181406,0.0126843146186829,0.0239788392738305,0.0165971986714596,-0.0494101233927945,-0.0497809960970425,0,1,24,0,176,182.958333333333,"1_2_LT05_018050_19950527",18,9,NA,73.56289072,53.91331741
"1995-06-28","B","LANDSAT_5",0.024292002671169,0.0199163307473255,0.0302500968234967,0.0273620070925854,-0.08696078920623,-0.0602430045525913,0,1,24,0,372,379.75,"1_2_LT05_018050_19950628",7,9,NA,70.54494761,51.98283393
"1995-06-28","C","LANDSAT_5",0.0285667933429055,0.0199163307473255,0.0303347038993887,0.0232395938483684,-0.107451767318952,-0.100650442938988,0,1,27,0,286,293.592592592593,"1_2_LT05_018050_19950628",7,9,NA,70.54494761,51.98283393
"1995-06-28","E","LANDSAT_5",0.0238855848273799,0.0148570659349769,0.0266688488413312,0.019455088286744,-0.0881908161061096,-0.0608084372791937,0,1,25,0,304,311.32,"1_2_LT05_018050_19950628",7,9,NA,70.54494761,51.98283393
"1995-06-28","F","LANDSAT_5",0.0197966244956272,0.0164710074042293,0.0254067292392561,0.0226891145405552,-0.0859357113788103,-0.0999443850492265,0,1,26,0,137,145.423076923077,"1_2_LT05_018050_19950628",7,9,NA,70.54494761,51.98283393
"1995-06-28","G","LANDSAT_5",0.027860146449958,0.0187756462895643,0.030794160616744,0.031634251492599,-0.107246957277361,-0.100368021345467,0,1,20,0,78,86.8,"1_2_LT05_018050_19950628",7,9,NA,70.54494761,51.98283393
