"","date","location","est_secchi_stringent","mission"
"233","1990-01-21","D",3.64437699317932,"LANDSAT_5"
"234","1990-01-21","E",3.40342736244202,"LANDSAT_5"
"235","1990-01-21","F",3.40342736244202,"LANDSAT_5"
"236","1990-01-21","G",3.44940161705017,"LANDSAT_5"
"237","1990-01-21","I",3.50341033935547,"LANDSAT_5"
"238","1990-01-21","K",3.90120196342468,"LANDSAT_5"
"239","1990-01-21","L",3.67570686340332,"LANDSAT_5"
"240","1990-01-21","M",3.39839863777161,"LANDSAT_5"
"241","1990-02-06","A",4.11309289932251,"LANDSAT_5"
"242","1990-02-06","C",3.8842658996582,"LANDSAT_5"
"243","1990-02-06","F",3.86176037788391,"LANDSAT_5"
"244","1990-02-06","I",4.06547498703003,"LANDSAT_5"
"245","1990-02-06","J",3.94398736953735,"LANDSAT_5"
"246","1990-02-06","K",4.16453409194946,"LANDSAT_5"
"247","1990-02-06","L",3.9181342124939,"LANDSAT_5"
"248","1990-02-06","M",3.88489890098572,"LANDSAT_5"
"249","1990-02-06","P",4.11954021453857,"LANDSAT_5"
"250","1990-02-06","R",4.11954021453857,"LANDSAT_5"
"251","1990-04-11","A",3.60175442695618,"LANDSAT_5"
"252","1990-04-11","B",3.49560785293579,"LANDSAT_5"
"253","1990-04-11","C",3.93300199508667,"LANDSAT_5"
"254","1990-04-11","D",3.49666786193848,"LANDSAT_5"
"255","1990-04-11","E",3.50932288169861,"LANDSAT_5"
"256","1990-04-11","F",3.45383763313293,"LANDSAT_5"
"257","1990-04-11","G",3.67074179649353,"LANDSAT_5"
"258","1990-04-11","H",3.80293226242065,"LANDSAT_5"
"259","1990-04-11","I",3.45383763313293,"LANDSAT_5"
"260","1990-04-11","K",3.56100988388062,"LANDSAT_5"
"261","1990-04-11","L",3.0646231174469,"LANDSAT_5"
"262","1990-04-11","M",3.53500366210938,"LANDSAT_5"
"263","1990-04-11","N",3.87352252006531,"LANDSAT_5"
"264","1990-04-11","O",3.50158905982971,"LANDSAT_5"
"265","1990-04-11","P",3.50932288169861,"LANDSAT_5"
