date,location,mission,est_secchi_stringent,est_secchi_verystringent,est_secchi_highsecchi,est_secchi_stepwise
2022-03-18,B,LANDSAT_8,2.820168972015381,2.9290008544921875,3.066774845123291,2.1892195209014313
2022-03-18,C,LANDSAT_8,2.8162941932678223,3.1331405639648438,3.066774845123291,2.182039362398059
2022-03-18,D,LANDSAT_8,2.757875680923462,3.214860439300537,3.134675979614258,2.6442313638498596
2022-03-18,E,LANDSAT_8,3.5421173572540283,3.6645991802215576,3.4662036895751953,2.882912620383585
2022-03-18,F,LANDSAT_8,2.640231132507324,2.8290441036224365,3.066774845123291,2.0487244153601494
2022-03-18,G,LANDSAT_8,2.4719977378845215,2.8290441036224365,3.066774845123291,2.0149666320142656
2022-03-18,H,LANDSAT_8,3.550816059112549,3.783534049987793,3.357046604156494,2.9608664723232283
2022-03-18,I,LANDSAT_8,2.457287311553955,2.9290008544921875,3.066774845123291,2.3705124206615547
2022-03-18,J,LANDSAT_8,3.9023358821868896,3.9641120433807373,3.5190114974975586,3.318155577189256
2022-03-18,K,LANDSAT_8,3.4909214973449707,3.4329581260681152,3.2087557315826416,2.885670659681067
2022-03-18,M,LANDSAT_8,3.328498363494873,3.5070061683654785,3.349987268447876,2.7571694162196825
2022-03-18,N,LANDSAT_8,3.144854784011841,3.4025001525878906,3.1415090560913086,3.0862153390651845
2022-03-18,O,LANDSAT_8,3.2702479362487793,3.706596612930298,3.272810459136963,2.885833151217883
2022-03-18,P,LANDSAT_8,3.3550126552581787,3.5070061683654785,3.2566442489624023,2.777508798680588
2022-03-18,Q,LANDSAT_8,2.9596402645111084,3.5189568996429443,3.1759490966796875,2.6771352655195835
2022-03-18,R,LANDSAT_8,3.988396167755127,3.898820161819458,3.6682326793670654,3.09897108680924
2022-04-03,A,LANDSAT_8,3.434396743774414,2.352444648742676,3.3741607666015625,4.1669221334769295
2022-04-03,B,LANDSAT_8,3.9389100074768066,3.684192657470703,3.7538318634033203,4.194055488819589
2022-04-03,C,LANDSAT_8,3.723170042037964,3.3741607666015625,3.8687615394592285,4.140218402481138
2022-04-03,D,LANDSAT_8,3.8751790523529053,2.675969123840332,3.821897268295288,4.312974049745038
2022-04-03,E,LANDSAT_8,4.5495781898498535,3.815419912338257,4.0071539878845215,4.238690793648604
2022-04-03,F,LANDSAT_8,3.8023266792297363,3.5494160652160645,3.6841166019439697,4.124701359821187
2022-04-03,G,LANDSAT_8,3.8606479167938232,3.5584635734558105,3.9811925888061523,4.30411825853531
2022-04-03,H,LANDSAT_8,4.248878002166748,3.5917928218841553,3.950040817260742,4.232494677549545
2022-04-03,I,LANDSAT_8,3.0062878131866455,2.3574883937835693,2.972175121307373,3.4453823690879255
2022-04-03,J,LANDSAT_8,3.4711496829986572,2.954540491104126,3.8293278217315674,3.441442551156984
2022-04-03,K,LANDSAT_8,3.7589704990386963,3.1503570079803467,3.7604269981384277,4.075885488829706
2022-04-03,M,LANDSAT_8,4.166962623596191,3.963857412338257,4.394968032836914,4.403335777214717
2022-04-03,N,LANDSAT_8,3.068016767501831,2.9525034427642822,3.3049476146698,4.416860623145614
2022-04-03,O,LANDSAT_8,3.516261577606201,2.407224178314209,3.482851982116699,3.8829645497524212
2022-04-03,P,LANDSAT_8,3.7593741416931152,3.573819637298584,3.6882922649383545,4.03489329481953
2022-04-03,Q,LANDSAT_8,3.340815782546997,2.407224178314209,3.3283627033233643,3.7632907780315734
2022-04-03,R,LANDSAT_8,4.404066562652588,3.7910163402557373,3.6417903900146484,4.120732150464309
2022-04-19,A,LANDSAT_8,4.5522847175598145,4.5072526931762695,3.8062148094177246,3.228929426283381
2022-04-19,B,LANDSAT_8,4.59386682510376,4.5072526931762695,4.087536334991455,3.2018640888945367
2022-04-19,C,LANDSAT_8,4.324134349822998,4.5072526931762695,4.087536334991455,3.236966443440412
2022-04-19,D,LANDSAT_8,4.281761646270752,4.5072526931762695,3.855182647705078,3.144432022763718
2022-04-19,J,LANDSAT_8,4.411516189575195,4.702032089233398,3.705009698867798,3.0008085036111325
2022-04-19,M,LANDSAT_8,3.6956660747528076,4.5072526931762695,3.5828254222869873,2.565893084940342
2022-04-19,Q,LANDSAT_8,4.363041400909424,4.409900665283203,4.045306205749512,3.2099098141471494
2022-04-19,R,LANDSAT_8,4.300334930419922,4.5072526931762695,4.15042781829834,2.5549330518958246
2022-05-21,E,LANDSAT_8,3.3095595836639404,2.9856667518615723,3.090088129043579,3.6275069977351957
2022-05-21,H,LANDSAT_8,3.175941228866577,2.998429298400879,3.1600589752197266,3.6076901657448732
2022-05-21,I,LANDSAT_8,3.3502395153045654,2.952073097229004,3.295919895172119,3.2800847393895647
2022-05-21,J,LANDSAT_8,3.043546438217163,3.477470636367798,3.447046995162964,3.0338443016184296
2022-05-21,K,LANDSAT_8,3.3922476768493652,2.998429298400879,3.1600589752197266,3.477332330505717
2022-05-21,O,LANDSAT_8,3.42611026763916,2.998429298400879,3.1600589752197266,3.610394835420793
2022-05-21,P,LANDSAT_8,3.618349075317383,2.9856667518615723,3.222341775894165,3.639575100532326
2022-05-21,Q,LANDSAT_8,3.437615156173706,3.477470636367798,3.3137242794036865,3.4617127879266696
2022-05-21,R,LANDSAT_8,2.8406925201416016,2.891122579574585,3.1239876747131348,2.8732432424024235
2022-06-22,E,LANDSAT_8,3.2081596851348877,3.599839687347412,3.646817922592163,2.9824941709204986
2022-06-22,J,LANDSAT_8,2.822995901107788,3.676084518432617,3.776154041290283,3.1638643185269744
